Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [97.050885ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [98.359677ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [98.367050ms] Service 1 yielding
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [99.797074ms] Service 1 running
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [101.138737ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [102.267594ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [103.378802ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [104.494598ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [105.616251ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [106.683639ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [107.641966ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [108.606069ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [109.567453ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [110.504637ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [110.510441ms] Service 1 yielding
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [110.518848ms] Service 2 running
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [111.450867ms] Service 2 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [112.302788ms] Service 2 computing
